Question,Content,Tags,id
school *(noun)*,"la escuela

okul",trio-lingua travel noun term places,tra_GXSp5s80ylkh
university *(noun)*,"la universidad

üniversite",trio-lingua travel noun term places,tra__klBWbbjea7s
church *(noun)*,"la iglesia

kilise",trio-lingua travel noun term places,tra_vl2wLypu_0Gs
Where is…? *(phrase)*,"¿Dónde está…?

… nerede?",trio-lingua travel phrase travel-phrases,tra_W6BjfEqfRFAM
How much is the ticket? *(phrase)*,"¿Cuánto cuesta el billete?

Bilet ne kadar?",trio-lingua travel phrase travel-phrases,tra_24-WW4_B94M3
I'm lost. *(phrase)*,"Estoy perdido / perdida.

Kayboldum.",trio-lingua travel phrase travel-phrases,tra_G3R2G33iTwPl
one way *(phrase)*,"solo ida

tek yön",trio-lingua travel phrase travel-phrases,tra_9KfpTPP7d82g
round trip *(phrase)*,"ida y vuelta

gidiş-dönüş",trio-lingua travel phrase travel-phrases,tra_g7mPMrQEF6XU
Have a good trip! *(phrase)*,"¡Buen viaje!

İyi yolculuklar!",trio-lingua travel phrase travel-phrases,tra_PU0MT2FsEwaa
weather *(noun)*,"el tiempo

hava (durumu)

*el tiempo also means 'time'*",trio-lingua weather noun term general,wea_6lZXCBUp9zzT
What's the weather like? *(phrase)*,"¿Qué tiempo hace?

Hava nasıl?",trio-lingua weather phrase general,wea_vtBz78mtT0pv
climate *(noun)*,"el clima

iklim

*masculine despite ending in -a*",trio-lingua weather noun term general,wea_mdqAA6OETHBI
forecast *(noun)*,"el pronóstico

hava tahmini",trio-lingua weather noun term general,wea_qw22Zj5og5vE
temperature *(noun)*,"la temperatura

sıcaklık",trio-lingua weather noun term general,wea_I4kdSUST2sZi
degree *(noun)*,"el grado

derece",trio-lingua weather noun term general,wea_2X-wPN0E_E0y
sun *(noun)*,"el sol

güneş",trio-lingua weather noun term conditions,wea_hGMPPbJ8BLI-
rain *(noun)*,"la lluvia

yağmur",trio-lingua weather noun term conditions,wea_1A-9gqgmLtDB
snow *(noun)*,"la nieve

kar",trio-lingua weather noun term conditions,wea_seK8Mi8MVunl
wind *(noun)*,"el viento

rüzgâr",trio-lingua weather noun term conditions,wea_XNcFPUnS7g3g
cloud *(noun)*,"la nube

bulut",trio-lingua weather noun term conditions,wea_5VoJDqfwF9LA
sky *(noun)*,"el cielo

gökyüzü",trio-lingua weather noun term conditions,wea_phJoE5-1vf_z
storm *(noun)*,"la tormenta

fırtına",trio-lingua weather noun term conditions,wea_b7kezDu4UCOG
fog *(noun)*,"la niebla

sis",trio-lingua weather noun term conditions,wea_-7Jc9RDJxSqi
ice *(noun)*,"el hielo

buz",trio-lingua weather noun term conditions,wea__r-d8TWSY3FC
thunder *(noun)*,"el trueno

gök gürültüsü",trio-lingua weather noun term conditions,wea_xl2tLMo2DOjj
lightning *(noun)*,"el relámpago

şimşek",trio-lingua weather noun term conditions,wea_DqVwUzk2HwK8
rainbow *(noun)*,"el arcoíris

gökkuşağı",trio-lingua weather noun term conditions,wea_QNsOiwliLYVg
shade / shadow *(noun)*,"la sombra

gölge",trio-lingua weather noun term conditions,wea_2ne4wQlSs2UJ
umbrella *(noun)*,"el paraguas

şemsiye",trio-lingua weather noun term conditions,wea_tN0z7z6hNci4
sunny *(adjective)*,"soleado / soleada

güneşli",trio-lingua weather adjective term describing,wea_4Ga2vQSJ-Fmk
cloudy *(adjective)*,"nublado / nublada

bulutlu",trio-lingua weather adjective term describing,wea_hegBBkLdOdmC
rainy *(adjective)*,"lluvioso / lluviosa

yağmurlu",trio-lingua weather adjective term describing,wea_DXtF7QnMvWTj
windy *(adjective)*,"ventoso / ventosa

rüzgârlı",trio-lingua weather adjective term describing,wea_0k98oRzoB1yU
humid *(adjective)*,"húmedo / húmeda

nemli",trio-lingua weather adjective term describing,wea_YF8abawrwakQ
dry *(adjective)*,"seco / seca

kuru",trio-lingua weather adjective term describing,wea_0M-ToWrFgBNr
warm *(adjective)*,"templado / cálido

ılık",trio-lingua weather adjective term describing,wea_fAdOw5fDxGvg
cool (temperature) *(adjective)*,"fresco / fresca

serin",trio-lingua weather adjective term describing,wea_ln8KcEA7zWwY
to rain *(verb)*,"llover

yağmur yağmak

*irregular: llueve*",trio-lingua weather verb term verbs,wea_tZBEgohssBU6
to snow *(verb)*,"nevar

kar yağmak

*irregular: nieva*",trio-lingua weather verb term verbs,wea_GpUhccagDcys
It's hot. *(phrase)*,"Hace calor.

Hava sıcak.

*weather uses hacer, not ser/estar*",trio-lingua weather phrase expressions,wea_qGNqCtNVBBQQ
It's cold. *(phrase)*,"Hace frío.

Hava soğuk.",trio-lingua weather phrase expressions,wea_iZz3n2LpXfQb
It's sunny. *(phrase)*,"Hace sol.

Hava güneşli.",trio-lingua weather phrase expressions,wea_26f1iAVm8XmB
It's windy. *(phrase)*,"Hace viento.

Rüzgârlı.",trio-lingua weather phrase expressions,wea_d8R0CoNqJNy3
The weather is nice. *(phrase)*,"Hace buen tiempo.

Hava güzel.",trio-lingua weather phrase expressions,wea_WVIEcxabHtfo
The weather is bad. *(phrase)*,"Hace mal tiempo.

Hava kötü.",trio-lingua weather phrase expressions,wea_q0YiiMiHfYnN
It's raining. *(phrase)*,"Llueve. / Está lloviendo.

Yağmur yağıyor.",trio-lingua weather phrase expressions,wea_INHR34REsspO
It's snowing. *(phrase)*,"Nieva. / Está nevando.

Kar yağıyor.",trio-lingua weather phrase expressions,wea_oqzLuZNHvia7
It's cloudy. *(phrase)*,"Está nublado.

Hava bulutlu.",trio-lingua weather phrase expressions,wea_3B58lbNdpL1A
It's 20 degrees. *(phrase)*,"Estamos a veinte grados.

Hava 20 derece.",trio-lingua weather phrase expressions,wea_YwaPhh8HqHi5
